text,kategori,sumber
kepalaku penuh sama pura-pura kuat dan harapan palsu,stres,DSM-5
kenapa harus berusaha waktu kesepian,stres,DSM-5
kenapa harus ngerjain tugas waktu tekanan hidup,stres,DSM-5
kepalaku penuh sama menghindar dan deadline tugas,stres,DSM-5
capek banget jadi orang yang selalu tidur,stres,DSM-5
tiap malam cuma bisa memuaskan orang lain karena tekanan hidup,stres,DSM-5
rasanya pengen berpikir pas lagi masalah keluarga,stres,DSM-5
beneran gak kuat lagi buat menghindar,stres,DSM-5
kepalaku penuh sama diam dan omongan orang,stres,DSM-5
udah nangis tapi tetap harapan palsu,stres,DSM-5
aku berpikir karena harapan palsu,stres,DSM-5
aku lelah harus terus pura-pura kuat,stres,DSM-5
gak sanggup lagi nangis setiap hari,stres,DSM-5
kenapa harus ngerjain tugas waktu deadline tugas,stres,DSM-5
tiap malam cuma bisa tidur karena rasa takut,stres,DSM-5
capek banget jadi orang yang selalu berusaha,stres,DSM-5
tiap malam cuma bisa nangis karena masalah keluarga,stres,DSM-5
aku ngerjain tugas karena beban pikiran,stres,DSM-5
gak sanggup lagi berusaha setiap hari,stres,DSM-5
udah ngelamun tapi tetap diri sendiri,stres,DSM-5
gak sanggup lagi memuaskan orang lain setiap hari,stres,DSM-5
tiap malam cuma bisa nahan emosi karena tuntutan orang tua,stres,DSM-5
rasanya pengen memuaskan orang lain pas lagi tekanan hidup,stres,DSM-5
aku lelah harus terus berpikir,stres,DSM-5
kepalaku penuh sama ngerjain tugas dan tuntutan orang tua,stres,DSM-5
kenapa harus ngeluh waktu tekanan hidup,stres,DSM-5
tiap malam cuma bisa teriak karena harapan palsu,stres,DSM-5
kenapa harus melawan pikiran negatif waktu harapan palsu,stres,DSM-5
aku lelah harus terus ngeluh,stres,DSM-5
tiap malam cuma bisa pura-pura kuat karena masa lalu,stres,DSM-5
rasanya pengen pura-pura kuat pas lagi masalah keluarga,stres,DSM-5
beneran gak kuat lagi buat ngerjain tugas,stres,DSM-5
aku pura-pura kuat karena teman toxic,stres,DSM-5
capek banget jadi orang yang selalu ngeluh,stres,DSM-5
tiap malam cuma bisa berusaha karena masalah keluarga,stres,DSM-5
kepalaku penuh sama berpikir dan masalah keluarga,stres,DSM-5
rasanya pengen nangis pas lagi tuntutan orang tua,stres,DSM-5
rasanya pengen berpikir pas lagi omongan orang,stres,DSM-5
aku berusaha karena harapan palsu,stres,DSM-5
gak sanggup lagi melawan pikiran negatif setiap hari,stres,DSM-5
rasanya pengen ngerjain tugas pas lagi tuntutan orang tua,stres,DSM-5
tiap malam cuma bisa menghindar karena deadline tugas,stres,DSM-5
gak sanggup lagi ngeluh setiap hari,stres,DSM-5
rasanya pengen nangis pas lagi tekanan hidup,stres,DSM-5
tiap malam cuma bisa pura-pura kuat karena kesepian,stres,DSM-5
capek banget jadi orang yang selalu nangis,stres,DSM-5
aku berusaha karena tuntutan orang tua,stres,DSM-5
tiap malam cuma bisa melawan pikiran negatif karena diri sendiri,stres,DSM-5
gak sanggup lagi diam setiap hari,stres,DSM-5
kepalaku penuh sama ngeluh dan masa lalu,stres,DSM-5
kepalaku penuh sama ngeluh dan rasa takut,stres,DSM-5
aku berusaha karena masa lalu,stres,DSM-5
kenapa harus ngerjain tugas waktu diri sendiri,stres,DSM-5
aku berpikir karena beban pikiran,stres,DSM-5
aku ngeluh karena diri sendiri,stres,DSM-5
kenapa harus ngeluh waktu tuntutan orang tua,stres,DSM-5
tiap malam cuma bisa nangis karena teman toxic,stres,DSM-5
udah ngerjain tugas tapi tetap omongan orang,stres,DSM-5
gak sanggup lagi ngelamun setiap hari,stres,DSM-5
aku nangis karena masalah keluarga,stres,DSM-5
udah teriak tapi tetap omongan orang,stres,DSM-5
udah ngerjain tugas tapi tetap diri sendiri,stres,DSM-5
aku lelah harus terus melawan pikiran negatif,stres,DSM-5
kepalaku penuh sama berpikir dan kesepian,stres,DSM-5
kepalaku penuh sama diam dan deadline tugas,stres,DSM-5
kenapa harus teriak waktu beban pikiran,stres,DSM-5
kepalaku penuh sama diam dan kesepian,stres,DSM-5
tiap malam cuma bisa ngerjain tugas karena deadline tugas,stres,DSM-5
kepalaku penuh sama tidur dan beban pikiran,stres,DSM-5
beneran gak kuat lagi buat pura-pura kuat,stres,DSM-5
kenapa harus menghindar waktu deadline tugas,stres,DSM-5
udah menghindar tapi tetap masalah keluarga,stres,DSM-5
capek banget jadi orang yang selalu berpikir,stres,DSM-5
gak sanggup lagi tidur setiap hari,stres,DSM-5
tiap malam cuma bisa pura-pura kuat karena harapan palsu,stres,DSM-5
kenapa harus berusaha waktu masalah keluarga,stres,DSM-5
udah menghindar tapi tetap diri sendiri,stres,DSM-5
capek banget jadi orang yang selalu diam,stres,DSM-5
kenapa harus ngerjain tugas waktu masalah keluarga,stres,DSM-5
udah memuaskan orang lain tapi tetap beban pikiran,stres,DSM-5
capek banget jadi orang yang selalu melawan pikiran negatif,stres,DSM-5
kenapa harus diam waktu harapan palsu,stres,DSM-5
kepalaku penuh sama ngelamun dan tuntutan orang tua,stres,DSM-5
aku berusaha karena diri sendiri,stres,DSM-5
kepalaku penuh sama menghindar dan omongan orang,stres,DSM-5
rasanya pengen nangis pas lagi rasa takut,stres,DSM-5
udah melawan pikiran negatif tapi tetap masalah keluarga,stres,DSM-5
aku pura-pura kuat karena rasa takut,stres,DSM-5
gak sanggup lagi menghindar setiap hari,stres,DSM-5
udah tidur tapi tetap harapan palsu,stres,DSM-5
aku lelah harus terus diam,stres,DSM-5
aku pura-pura kuat karena tekanan hidup,stres,DSM-5
udah ngelamun tapi tetap beban pikiran,stres,DSM-5
aku lelah harus terus menghindar,stres,DSM-5
rasanya pengen diam pas lagi tekanan hidup,stres,DSM-5
capek banget jadi orang yang selalu memuaskan orang lain,stres,DSM-5
udah nahan emosi tapi tetap rasa takut,stres,DSM-5
kenapa harus melawan pikiran negatif waktu omongan orang,stres,DSM-5
aku diam karena tuntutan orang tua,stres,DSM-5
rasanya pengen tidur pas lagi diri sendiri,stres,DSM-5
kenapa harus berpikir waktu tekanan hidup,stres,DSM-5
rasanya pengen menghindar pas lagi tuntutan orang tua,stres,DSM-5
aku memuaskan orang lain karena kesepian,stres,DSM-5
kepalaku penuh sama nangis dan tuntutan orang tua,stres,DSM-5
udah melawan pikiran negatif tapi tetap beban pikiran,stres,DSM-5
capek banget jadi orang yang selalu teriak,stres,DSM-5
beneran gak kuat lagi buat melawan pikiran negatif,stres,DSM-5
kenapa harus pura-pura kuat waktu kesepian,stres,DSM-5
tiap malam cuma bisa pura-pura kuat karena beban pikiran,stres,DSM-5
rasanya pengen pura-pura kuat pas lagi rasa takut,stres,DSM-5
rasanya pengen teriak pas lagi omongan orang,stres,DSM-5
rasanya pengen nangis pas lagi masa lalu,stres,DSM-5
kenapa harus diam waktu masalah keluarga,stres,DSM-5
tiap malam cuma bisa berpikir karena omongan orang,stres,DSM-5
aku menghindar karena teman toxic,stres,DSM-5
tiap malam cuma bisa ngelamun karena harapan palsu,stres,DSM-5
rasanya pengen melawan pikiran negatif pas lagi teman toxic,stres,DSM-5
rasanya pengen pura-pura kuat pas lagi tuntutan orang tua,stres,DSM-5
aku diam karena tekanan hidup,stres,DSM-5
beneran gak kuat lagi buat berpikir,stres,DSM-5
rasanya pengen berusaha pas lagi diri sendiri,stres,DSM-5
capek banget jadi orang yang selalu menghindar,stres,DSM-5
tiap malam cuma bisa pura-pura kuat karena tekanan hidup,stres,DSM-5
beneran gak kuat lagi buat ngelamun,stres,DSM-5
tiap malam cuma bisa tidur karena tuntutan orang tua,stres,DSM-5
rasanya pengen teriak pas lagi beban pikiran,stres,DSM-5
tiap malam cuma bisa diam karena harapan palsu,stres,DSM-5
kenapa harus ngelamun waktu tuntutan orang tua,stres,DSM-5
kepalaku penuh sama berpikir dan teman toxic,stres,DSM-5
udah ngeluh tapi tetap tekanan hidup,stres,DSM-5
kenapa harus ngelamun waktu kesepian,stres,DSM-5
rasanya pengen diam pas lagi tuntutan orang tua,stres,DSM-5
aku teriak karena beban pikiran,stres,DSM-5
beneran gak kuat lagi buat memuaskan orang lain,stres,DSM-5
tiap malam cuma bisa nangis karena rasa takut,stres,DSM-5
gak sanggup lagi nahan emosi setiap hari,stres,DSM-5
rasanya pengen teriak pas lagi deadline tugas,stres,DSM-5
kenapa harus diam waktu omongan orang,stres,DSM-5
kenapa harus nahan emosi waktu harapan palsu,stres,DSM-5
tiap malam cuma bisa berpikir karena rasa takut,stres,DSM-5
rasanya pengen menghindar pas lagi deadline tugas,stres,DSM-5
tiap malam cuma bisa teriak karena teman toxic,stres,DSM-5
tiap malam cuma bisa berusaha karena harapan palsu,stres,DSM-5
rasanya pengen nahan emosi pas lagi teman toxic,stres,DSM-5
kepalaku penuh sama ngerjain tugas dan tekanan hidup,stres,DSM-5
kepalaku penuh sama nahan emosi dan harapan palsu,stres,DSM-5
aku tidur karena kesepian,stres,DSM-5
kenapa harus tidur waktu tekanan hidup,stres,DSM-5
udah pura-pura kuat tapi tetap masa lalu,stres,DSM-5
kenapa harus tidur waktu teman toxic,stres,DSM-5
rasanya pengen berusaha pas lagi masalah keluarga,stres,DSM-5
capek banget jadi orang yang selalu pura-pura kuat,stres,DSM-5
beneran gak kuat lagi buat diam,stres,DSM-5
kepalaku penuh sama ngerjain tugas dan omongan orang,stres,DSM-5
tiap malam cuma bisa melawan pikiran negatif karena tekanan hidup,stres,DSM-5
rasanya pengen teriak pas lagi masalah keluarga,stres,DSM-5
aku melawan pikiran negatif karena masa lalu,stres,DSM-5
tiap malam cuma bisa ngeluh karena rasa takut,stres,DSM-5
gak sanggup lagi teriak setiap hari,stres,DSM-5
aku lelah harus terus nahan emosi,stres,DSM-5
rasanya pengen memuaskan orang lain pas lagi beban pikiran,stres,DSM-5
tiap malam cuma bisa berpikir karena deadline tugas,stres,DSM-5
aku nahan emosi karena deadline tugas,stres,DSM-5
kenapa harus diam waktu diri sendiri,stres,DSM-5
beneran gak kuat lagi buat teriak,stres,DSM-5
rasanya pengen pura-pura kuat pas lagi kesepian,stres,DSM-5
rasanya pengen berpikir pas lagi teman toxic,stres,DSM-5
gak sanggup lagi ngerjain tugas setiap hari,stres,DSM-5
rasanya pengen nahan emosi pas lagi harapan palsu,stres,DSM-5
tiap malam cuma bisa melawan pikiran negatif karena masa lalu,stres,DSM-5
tiap malam cuma bisa nangis karena tekanan hidup,stres,DSM-5
kepalaku penuh sama berpikir dan harapan palsu,stres,DSM-5
tiap malam cuma bisa memuaskan orang lain karena rasa takut,stres,DSM-5
tiap malam cuma bisa nangis karena tuntutan orang tua,stres,DSM-5
tiap malam cuma bisa nahan emosi karena omongan orang,stres,DSM-5
rasanya pengen melawan pikiran negatif pas lagi tuntutan orang tua,stres,DSM-5
rasanya pengen teriak pas lagi tuntutan orang tua,stres,DSM-5
tiap malam cuma bisa menghindar karena omongan orang,stres,DSM-5
tiap malam cuma bisa nahan emosi karena kesepian,stres,DSM-5
kepalaku penuh sama menghindar dan diri sendiri,stres,DSM-5
udah berusaha tapi tetap deadline tugas,stres,DSM-5
gak sanggup lagi berpikir setiap hari,stres,DSM-5
aku nangis karena rasa takut,stres,DSM-5
rasanya pengen ngeluh pas lagi masalah keluarga,stres,DSM-5
kepalaku penuh sama tidur dan teman toxic,stres,DSM-5
aku tidur karena tekanan hidup,stres,DSM-5
aku pura-pura kuat karena tuntutan orang tua,stres,DSM-5
aku nangis karena teman toxic,stres,DSM-5
capek banget jadi orang yang selalu ngelamun,stres,DSM-5
udah diam tapi tetap masa lalu,stres,DSM-5
beneran gak kuat lagi buat tidur,stres,DSM-5
kepalaku penuh sama nangis dan beban pikiran,stres,DSM-5
kenapa harus teriak waktu masa lalu,stres,DSM-5
tiap malam cuma bisa ngerjain tugas karena masalah keluarga,stres,DSM-5
tiap malam cuma bisa melawan pikiran negatif karena deadline tugas,stres,DSM-5
kenapa harus pura-pura kuat waktu tuntutan orang tua,stres,DSM-5
kepalaku penuh sama nangis dan tekanan hidup,stres,DSM-5
aku lelah harus terus teriak,stres,DSM-5
kenapa harus nahan emosi waktu rasa takut,stres,DSM-5
gak sanggup lagi pura-pura kuat setiap hari,stres,DSM-5
kenapa harus tidur waktu tuntutan orang tua,stres,DSM-5
rasanya pengen ngelamun pas lagi beban pikiran,stres,DSM-5
kenapa harus ngerjain tugas waktu harapan palsu,stres,DSM-5
aku lelah harus terus ngelamun,stres,DSM-5
aku ngelamun karena deadline tugas,stres,DSM-5
tiap malam cuma bisa teriak karena rasa takut,stres,DSM-5
capek banget jadi orang yang selalu ngerjain tugas,stres,DSM-5
aku ngerjain tugas karena kesepian,stres,DSM-5
rasanya pengen nangis pas lagi harapan palsu,stres,DSM-5
tiap malam cuma bisa nangis karena diri sendiri,stres,DSM-5
tiap malam cuma bisa tidur karena masa lalu,stres,DSM-5
tiap malam cuma bisa memuaskan orang lain karena tuntutan orang tua,stres,DSM-5
rasanya pengen melawan pikiran negatif pas lagi omongan orang,stres,DSM-5
kepalaku penuh sama melawan pikiran negatif dan teman toxic,stres,DSM-5
kepalaku penuh sama ngerjain tugas dan masalah keluarga,stres,DSM-5
kenapa harus ngeluh waktu diri sendiri,stres,DSM-5
kenapa harus nangis waktu masalah keluarga,stres,DSM-5
aku nahan emosi karena masa lalu,stres,DSM-5
udah menghindar tapi tetap harapan palsu,stres,DSM-5
kenapa harus pura-pura kuat waktu rasa takut,stres,DSM-5
aku menghindar karena harapan palsu,stres,DSM-5
udah tidur tapi tetap tuntutan orang tua,stres,DSM-5
aku memuaskan orang lain karena beban pikiran,stres,DSM-5
rasanya pengen tidur pas lagi masalah keluarga,stres,DSM-5
aku lelah harus terus nangis,stres,DSM-5
kepalaku penuh sama ngeluh dan tekanan hidup,stres,DSM-5
tiap malam cuma bisa tidur karena kesepian,stres,DSM-5
tiap malam cuma bisa berpikir karena teman toxic,stres,DSM-5
rasanya pengen memuaskan orang lain pas lagi rasa takut,stres,DSM-5
kenapa harus pura-pura kuat waktu harapan palsu,stres,DSM-5
aku teriak karena harapan palsu,stres,DSM-5
rasanya pengen nahan emosi pas lagi diri sendiri,stres,DSM-5
aku tidur karena teman toxic,stres,DSM-5
udah pura-pura kuat tapi tetap tuntutan orang tua,stres,DSM-5
kenapa harus teriak waktu rasa takut,stres,DSM-5
aku memuaskan orang lain karena harapan palsu,stres,DSM-5
beneran gak kuat lagi buat nahan emosi,stres,DSM-5
kepalaku penuh sama berusaha dan teman toxic,stres,DSM-5
aku memuaskan orang lain karena masa lalu,stres,DSM-5
udah berusaha tapi tetap omongan orang,stres,DSM-5
kenapa harus ngerjain tugas waktu teman toxic,stres,DSM-5
kepalaku penuh sama melawan pikiran negatif dan harapan palsu,stres,DSM-5
kepalaku penuh sama nahan emosi dan teman toxic,stres,DSM-5
rasanya pengen berpikir pas lagi tuntutan orang tua,stres,DSM-5
kepalaku penuh sama memuaskan orang lain dan tuntutan orang tua,stres,DSM-5
rasanya pengen ngeluh pas lagi tuntutan orang tua,stres,DSM-5
udah ngerjain tugas tapi tetap beban pikiran,stres,DSM-5
beneran gak kuat lagi buat nangis,stres,DSM-5
udah berusaha tapi tetap tekanan hidup,stres,DSM-5
kepalaku penuh sama ngeluh dan tuntutan orang tua,stres,DSM-5
bikin bahagia pas bisa olahraga dengan kopi pagi,tidak_stres,I-NAMHS
seru banget waktu makan enak sama kopi pagi,tidak_stres,I-NAMHS
seru banget waktu nulis jurnal sama pelajaran baru,tidak_stres,I-NAMHS
aku bikin konten karena teman-teman,tidak_stres,I-NAMHS
bikin bahagia pas bisa berbagi cerita dengan musik favorit,tidak_stres,I-NAMHS
rasanya pengen jalan-jalan pas lagi hewan peliharaan,tidak_stres,I-NAMHS
aku bikin konten karena cuaca cerah,tidak_stres,I-NAMHS
seru banget waktu bikin konten sama hari minggu,tidak_stres,I-NAMHS
tiap hari semangat buat nulis jurnal karena pemandangan indah,tidak_stres,I-NAMHS
tiap hari semangat buat makan enak karena liburan,tidak_stres,I-NAMHS
seneng banget bisa chat seru bareng momen kecil,tidak_stres,I-NAMHS
nyaman rasanya bisa ngopi santai di tengah pemandangan indah,tidak_stres,I-NAMHS
bikin bahagia pas bisa belajar dengan momen kecil,tidak_stres,I-NAMHS
nyaman rasanya bisa belajar di tengah keluarga,tidak_stres,I-NAMHS
aku bersyukur bisa terus membaca buku walau liburan,tidak_stres,I-NAMHS
rasanya pengen nongkrong pas lagi hari minggu,tidak_stres,I-NAMHS
aku chat seru karena cuaca cerah,tidak_stres,I-NAMHS
penuh energi tiap kali main game setelah hari minggu,tidak_stres,I-NAMHS
penuh energi tiap kali belajar setelah keluarga,tidak_stres,I-NAMHS
aku nulis jurnal karena pemandangan indah,tidak_stres,I-NAMHS
tiap hari semangat buat main game karena kopi pagi,tidak_stres,I-NAMHS
aku bersyukur bisa terus ngopi santai walau cuaca cerah,tidak_stres,I-NAMHS
seneng banget bisa nonton film bareng keluarga,tidak_stres,I-NAMHS
gak sabar mau ngopi santai sama cuaca cerah,tidak_stres,I-NAMHS
